"iso","adm1","umd_tree_cover_loss__year","umd_tree_cover_loss__ha","gfw_gross_emissions_co2e_all_gases__Mg"
"LKA",23,2010,269.57536978934370469,162238.628333202337164
"LKA",24,2010,442.45122534995509118,119776.531341072041992
"LKA",25,2010,501.27315660746907634,131475.764267946591822
"LKA",1,2011,298.95188460001789374,113604.010056997777985
"LKA",2,2011,4450.46889409454247950,1197617.642313745730569
"LKA",3,2011,559.02539233348452957,308757.50597826995036
"LKA",4,2011,184.22484330649084014,56051.468982738791833
"LKA",5,2011,167.60105052212265681,97602.339716044553913
"LKA",6,2011,357.53292884959090605,246082.909046422311804
"LKA",7,2011,186.37781136375493050,103501.398705495542395
"LKA",8,2011,278.74219539895285096,121967.807313529380334
"LKA",9,2011,15.54759586321181170,4605.249998477089961
"LKA",10,2011,363.23351802617884063,207976.074448487169805
"LKA",11,2011,263.58242388163930926,162788.52953008199742
"LKA",12,2011,377.82512505754721715,230566.425433838419814
"LKA",13,2011,232.36596442983999114,64092.337993483563966
"LKA",14,2011,461.73396755856409218,169640.678906723897773
"LKA",15,2011,334.39962305929970935,96384.146064827954373
"LKA",16,2011,491.34500610918268578,236417.018496411806275
"LKA",17,2011,179.78780834248238417,109688.212490369547046
"LKA",18,2011,487.23325515509593025,201866.306194613469936
"LKA",19,2011,766.14529218903184518,211098.73619138852117
"LKA",20,2011,356.45687054797286938,205890.696046566813832
"LKA",21,2011,913.40408857149840271,299850.477131129615784
"LKA",22,2011,589.29829247373317875,173532.945165124826596
"LKA",23,2011,401.32266485111997709,241915.981259933888655
"LKA",24,2011,1155.84192066650291089,310835.793317726776396
"LKA",25,2011,864.47390837197911532,206909.447518445327603
"LKA",1,2012,1069.88455017636235860,390202.006702323922607
"LKA",2,2012,1647.83666072725500556,446158.432125250762923
"LKA",3,2012,294.79475272824072455,155048.330981078652825
"LKA",4,2012,130.06233024620364594,42865.924988590052266
"LKA",5,2012,172.79821237447755611,100655.42736958765536
"LKA",6,2012,552.52255360620790342,364182.952448633070244
"LKA",7,2012,198.20763015753933941,109622.974183684642410
"LKA",8,2012,462.36789150715043115,177096.786296464955407
"LKA",9,2012,10.6933643490619649,2893.4250375725999
"LKA",10,2012,353.07779919649016033,208482.431531205248339
"LKA",11,2012,278.77260225360793257,185089.266300812185948
"LKA",12,2012,407.98545473655085933,247255.222734548836464
"LKA",13,2012,114.66633058638475769,30811.419827152859767
"LKA",14,2012,1837.96409487442503680,609596.821546074313073
"LKA",15,2012,428.82709892018202135,128812.366785746754628
"LKA",16,2012,300.46971734825330345,148385.436282207083657
"LKA",17,2012,221.49406266509250367,133224.798767564817794
"LKA",18,2012,2396.49770008493636531,976490.418996030450448
"LKA",19,2012,609.69140007834284710,166740.348842796210656
"LKA",20,2012,352.81508167185385407,205652.619131507720919
"LKA",21,2012,154.68638859955323318,51665.882341817215433
"LKA",22,2012,699.43504638305861044,210295.111803504711742
"LKA",23,2012,329.34579431608317297,193253.209597334923806
"LKA",24,2012,456.81208374921602997,122313.238944164106704
"LKA",25,2012,946.00012080269402724,226448.148835756914776
"LKA",1,2013,369.46247459641340959,133341.042430026290657
"LKA",2,2013,1355.34728402500245606,366781.056791011254931
"LKA",3,2013,158.41317693055528449,77050.163789240640105
"LKA",4,2013,114.10304012606208765,33798.157156676636934
"LKA",5,2013,94.34122590059488278,53745.742758436206646
"LKA",6,2013,228.86695916333950995,145310.140349637992802
"LKA",7,2013,67.34585587002306060,34679.020289918762360
"LKA",8,2013,159.86183885798695753,66112.450167416427599
"LKA",9,2013,25.7852879426519389,7633.2672497802677
"LKA",10,2013,255.07251575405951589,140700.289654151745920
"LKA",11,2013,74.26488655687475278,44479.957463304578968
"LKA",12,2013,269.31728001393176043,156200.959305050306943
"LKA",13,2013,137.59394725625216709,39621.622485842756925
"LKA",14,2013,840.64052632824930085,260359.875707063180248
"LKA",15,2013,479.87898399212244036,139298.169619404190395
"LKA",16,2013,108.98313934843530692,47992.279190334661183
"LKA",17,2013,87.37345356731526349,48065.564741364599185
"LKA",18,2013,375.35321317789265393,151486.940002766123937
"LKA",19,2013,579.73392223273253578,157223.016113811880407
"LKA",20,2013,141.32308849934188841,65503.278097705531708
"LKA",21,2013,263.95465696837626932,85764.864472688955974
"LKA",22,2013,517.41098645040138508,148659.635012653729154
"LKA",23,2013,183.43058427764352583,100115.862192776168963
"LKA",24,2013,283.90737644129870040,75158.176014187906220
"LKA",25,2013,781.53582770381388139,191704.623252203680958
"LKA",1,2014,330.44374882697163400,117918.881643732648655
"LKA",2,2014,1600.15486402026186190,421758.799023026976995
"LKA",3,2014,232.83138108976643650,114379.195310329306222
"LKA",4,2014,107.50965210449656378,31544.773865645641053
"LKA",5,2014,147.89341082688994116,83321.69839626869673
"LKA",6,2014,400.65411330746047393,230189.818660269703436
"LKA",7,2014,219.73279722213465036,116540.037241200691344
"LKA",8,2014,239.55535037828343291,97561.209021559555821
"LKA",9,2014,25.78547971194932726,7453.038876512417528
"LKA",10,2014,511.28448541761176501,275349.084369430001414
"LKA",11,2014,202.27773522510685711,118297.697307896794856
"LKA",12,2014,891.17840472949978570,520783.78461465191096
"LKA",13,2014,175.79234958063763964,60099.518507316629040
"LKA",14,2014,2367.06968901553051100,945201.132302040345691
"LKA",15,2014,553.53624682898376143,164178.999856817834335
"LKA",16,2014,227.79320335916043115,98047.395460231507753
"LKA",17,2014,98.39107600216768601,53206.276921726965694
"LKA",18,2014,470.49821886712064293,192996.095127109535109
"LKA",19,2014,971.90935988646719088,271132.437809780782628
"LKA",20,2014,327.47408960144694155,147590.746818078036968
"LKA",21,2014,333.80977842800292513,106637.858707366010536
"LKA",22,2014,361.20030694573739717,114401.079705048153815
"LKA",23,2014,294.63537801529244071,160610.846379626866822
"LKA",24,2014,276.00914312110533887,74116.842790879809957
"LKA",25,2014,983.17691999952881415,243431.238137731680829
"LKA",1,2015,162.21987043712188467,59430.291917529003430
"LKA",2,2015,999.82933997780761810,268448.380370608689581
"LKA",3,2015,144.11316941546739326,76723.278629921174857
"LKA",4,2015,283.41945229690028389,89488.348215844838458
"LKA",5,2015,136.58431336026445886,74415.339284017643215
"LKA",6,2015,162.84939289416870286,105690.513064648749866
"LKA",7,2015,155.08382984623347146,85926.452558812952967
"LKA",8,2015,62.79307503811443004,25385.378772600806012
"LKA",9,2015,23.05562902939505265,6883.365485027581905
"LKA",10,2015,472.30500348505104452,264417.266306746778339
"LKA",11,2015,96.49085856691079360,58624.840463241536217
"LKA",12,2015,474.34628936368881927,275132.25228225976087
"LKA",13,2015,40.15711821291885068,11821.822859207819752
"LKA",14,2015,564.51576761527304985,194489.104289177212674
"LKA",15,2015,416.77285635654119197,133408.70294686650844
"LKA",16,2015,358.29686893556747576,158040.601116518959953
"LKA",17,2015,53.09562450555690893,30693.860608331949695
"LKA",18,2015,270.67367882147814767,117286.526390434865597
"LKA",19,2015,335.13278267264941891,88424.638509015186018
"LKA",20,2015,221.22154087931628677,109521.533724436240539
"LKA",21,2015,331.22346920844887953,108374.031202897640680
"LKA",22,2015,251.05001022375864626,74381.93101861331360
"LKA",23,2015,341.91986478272294650,199043.759846010654045
"LKA",24,2015,389.98866401093376649,105319.732789740803480
"LKA",25,2015,655.87672852799811069,163288.538149968092627
"LKA",1,2016,535.42206892813533826,202043.241686584547693
"LKA",2,2016,2432.79013878022854621,650408.802362974049317
"LKA",3,2016,544.83850168021470943,275114.045955331108264
